"Site","RemovTreat","Date","sumSpm2","AveSpm2","DateCode","dNr","dCr","TA","CD","MNND","SDNND","LFRnAve","LFTADen","HASAve","CoralArea","Mheight","Rscore","TArea","LFLevel"
"102","0","2012-06-01",2.3125,0.136029411764706,"Jun12",1.221858843,1.703188574,2.233547963,0.959719383,0.813717906,0.206815646,5,1.26,2.25,105,1.7,2,396,"Low"
"102","0","2013-06-01",4.1875,0.209375,"Jun13",1.221858843,1.703188574,2.233547963,0.959719383,0.813717906,0.206815646,5,1.26,2.25,105,1.7,2,396,"Low"
"107","1","2013-06-01",9,0.346153846153846,"Jun13",1.184902671,1.717626637,2.168850815,0.979312645,0.75680899,0.204351468,4,0.63,2.36,51,1,2,630,"Low"
"107","1","2012-06-01",3,0.12,"Jun12",1.184902671,1.717626637,2.168850815,0.979312645,0.75680899,0.204351468,4,0.63,2.36,51,1,2,630,"Low"
"108","0","2013-06-01",2.125,0.118055555555556,"Jun13",1.083630437,1.580904667,1.856476289,0.833317463,0.606217003,-0.006647751,23,6.32,2.33,112,1.4,NA,364,"High"
"108","0","2012-06-01",4.375,0.230263157894737,"Jun12",1.083630437,1.580904667,1.856476289,0.833317463,0.606217003,-0.006647751,23,6.32,2.33,112,1.4,NA,364,"High"
"119","1","2013-06-01",6.125,0.245,"Jun13",1.398610399,1.542193748,2.052871173,0.979020771,1.341727784,-0.408576222,9,1.73,2.58,138,1.4,3,520,"Low"
"119","1","2012-06-01",16.8125,0.454391891891892,"Jun12",1.398610399,1.542193748,2.052871173,0.979020771,1.341727784,-0.408576222,9,1.73,2.58,138,1.4,3,520,"Low"
"71","0","2012-06-01",10.3125,0.381944444444444,"Jun12",1.426334323,1.899326475,2.519057047,1.241148681,1.560155006,0.425288693,10,2.53,2.58,93,1.8,NA,396,"High"
"71","0","2013-06-01",2.75,0.1375,"Jun13",1.426334323,1.899326475,2.519057047,1.241148681,1.560155006,0.425288693,10,2.53,2.58,93,1.8,NA,396,"High"
"73","0","2013-06-01",4.3125,0.159722222222222,"Jun13",1.235717391,1.567132491,2.043944543,0.88507911,0.6991373,0.339637969,9,0.85,2.1,148,1.5,3,1053,"Low"
"73","0","2012-06-01",2.75,0.161764705882353,"Jun12",1.235717391,1.567132491,2.043944543,0.88507911,0.6991373,0.339637969,9,0.85,2.1,148,1.5,3,1053,"Low"
"78","0","2013-06-01",3.5,0.205882352941176,"Jun13",1.361982249,1.695598899,2.352302106,1.002249461,0.865223166,0.457404522,13,1.68,2.06,105,0.8,2,775,"Low"
"78","0","2012-06-01",4.4375,0.158482142857143,"Jun12",1.361982249,1.695598899,2.352302106,1.002249461,0.865223166,0.457404522,13,1.68,2.06,105,0.8,2,775,"Low"
"84","0","2013-06-01",2.4375,0.135416666666667,"Jun13",1.202081024,1.683986288,2.207768553,0.936270619,0.819280255,0.146879312,31,2.21,2.26,92,1.3,2,1404,"High"
"84","0","2012-06-01",2.1875,0.128676470588235,"Jun12",1.202081024,1.683986288,2.207768553,0.936270619,0.819280255,0.146879312,31,2.21,2.26,92,1.3,2,1404,"High"
"86","1","2012-06-01",3.4375,0.14945652173913,"Jun12",1.123912346,1.827563807,2.2280602,0.990481474,0.869570063,-0.400618901,12,2,1.87,67,1.5,1,600,"High"
"86","1","2013-06-01",9.125,0.43452380952381,"Jun13",1.123912346,1.827563807,2.2280602,0.990481474,0.869570063,-0.400618901,12,2,1.87,67,1.5,1,600,"High"
"90","0","2013-06-01",6.3125,0.191287878787879,"Jun13",1.428962044,1.839495063,2.44148699,1.131848659,0.894294051,0.168256786,23,2.74,2.43,141,1.5,4,840,"High"
"90","0","2012-06-01",7.625,0.245967741935484,"Jun12",1.428962044,1.839495063,2.44148699,1.131848659,0.894294051,0.168256786,23,2.74,2.43,141,1.5,4,840,"High"
"94","0","2013-06-01",5,0.142857142857143,"Jun13",1.325854775,1.84396274,2.393970858,1.10177431,0.79926439,0.483767527,18,1.52,1.77,55,1.3,2,1188,"Low"
"94","0","2012-06-01",3.5,0.12962962962963,"Jun12",1.325854775,1.84396274,2.393970858,1.10177431,0.79926439,0.483767527,18,1.52,1.77,55,1.3,2,1188,"Low"
"99","1","2013-06-01",2.125,0.141666666666667,"Jun13",1.070518804,1.690157487,2.112197921,0.945581606,0.68345983,-0.070053658,7,0.69,1.79,14.3,0.7,1,1008,"Low"
"99","1","2012-06-01",7.6875,0.213541666666667,"Jun12",1.070518804,1.690157487,2.112197921,0.945581606,0.68345983,-0.070053658,7,0.69,1.79,14.3,0.7,1,1008,"Low"
"E3","1","2013-06-01",7.6875,0.265086206896552,"Jun13",1.373710645,1.567085189,2.211827562,0.881085809,0.861601494,0.311528082,19,2.44,2.54,204,2.2,2,780,"High"
"F4","1","2012-06-01",12.875,0.40234375,"Jun12",1.248185448,1.697739549,2.233476666,1.015025306,0.722346203,0.297480209,12,2.22,2.09,105,1.9,4,540,"High"
"F4","1","2013-06-01",9.375,0.375,"Jun13",1.248185448,1.697739549,2.233476666,1.015025306,0.722346203,0.297480209,12,2.22,2.09,105,1.9,4,540,"High"
"F5","1","2013-06-01",8.4375,0.248161764705882,"Jun13",1.200644075,1.629377333,2.069740804,0.914270078,0.749278425,-0.061235258,9,1.15,2.01,81,1.3,3,783,"Low"
"New2","1","2013-06-01",3.75,0.1875,"Jun13",1.343069733,1.686872476,2.267484666,0.93180585,0.902777148,0.264996268,6,4.55,2.45,34,0.8,2,132,"High"
